location,date,population,new_cases,new_deaths,rolling_total_cases,rolling_total_deaths,rolling_total_percentage
Africa,01-05-22,1446883817,0,0,0,0,0
Africa,02-05-22,1446883817,0,0,0,0,0
Africa,03-05-22,1446883817,0,0,0,0,0
Africa,04-05-22,1446883817,0,0,0,0,0
Africa,05-05-22,1446883817,0,0,0,0,0
Africa,06-05-22,1446883817,0,0,0,0,0
Africa,07-05-22,1446883817,0,0,0,0,0
Africa,08-05-22,1446883817,0,0,0,0,0
Africa,09-05-22,1446883817,0,0,0,0,0
Africa,10-05-22,1446883817,0,0,0,0,0
Africa,11-05-22,1446883817,0,0,0,0,0
Africa,12-05-22,1446883817,0,0,0,0,0
Africa,13-05-22,1446883817,4,0,4,0,0
Africa,14-05-22,1446883817,0,0,4,0,0
Africa,15-05-22,1446883817,0,0,4,0,0
Africa,16-05-22,1446883817,0,0,4,0,0
Africa,17-05-22,1446883817,0,0,4,0,0
Africa,18-05-22,1446883817,0,0,4,0,0
Africa,19-05-22,1446883817,0,0,4,0,0
Africa,20-05-22,1446883817,12,0,16,0,0
Africa,21-05-22,1446883817,0,0,16,0,0
Africa,22-05-22,1446883817,0,0,16,0,0
Africa,23-05-22,1446883817,0,0,16,0,0
Africa,24-05-22,1446883817,0,0,16,0,0
Africa,25-05-22,1446883817,0,0,16,0,0
Africa,26-05-22,1446883817,0,0,16,0,0
Africa,27-05-22,1446883817,0,0,16,0,0
Africa,28-05-22,1446883817,0,0,16,0,0
Africa,29-05-22,1446883817,0,0,16,0,0
Africa,30-05-22,1446883817,0,0,16,0,0
Africa,31-05-22,1446883817,0,0,16,0,0
Africa,01-06-22,1446883817,0,0,16,0,0
Africa,02-06-22,1446883817,1,0,17,0,0
Africa,03-06-22,1446883817,18,1,35,1,2.86
Africa,04-06-22,1446883817,0,0,35,1,2.86
Africa,05-06-22,1446883817,0,0,35,1,2.86
Africa,06-06-22,1446883817,0,0,35,1,2.86
Africa,07-06-22,1446883817,0,0,35,1,2.86
Africa,08-06-22,1446883817,0,0,35,1,2.86
Africa,09-06-22,1446883817,0,0,35,1,2.86
Africa,10-06-22,1446883817,15,0,50,1,2
Africa,11-06-22,1446883817,0,0,50,1,2
Africa,12-06-22,1446883817,0,0,50,1,2
Africa,13-06-22,1446883817,0,0,50,1,2
Africa,14-06-22,1446883817,0,0,50,1,2
Africa,15-06-22,1446883817,0,0,50,1,2
Africa,16-06-22,1446883817,0,0,50,1,2
Africa,17-06-22,1446883817,99,0,149,1,0.67
Africa,18-06-22,1446883817,0,0,149,1,0.67
Africa,19-06-22,1446883817,0,0,149,1,0.67
Africa,20-06-22,1446883817,0,0,149,1,0.67
Africa,21-06-22,1446883817,0,0,149,1,0.67
Africa,22-06-22,1446883817,0,0,149,1,0.67
Africa,23-06-22,1446883817,0,0,149,1,0.67
Africa,24-06-22,1446883817,26,0,175,1,0.57
Africa,25-06-22,1446883817,0,0,175,1,0.57
Africa,26-06-22,1446883817,0,0,175,1,0.57
Africa,27-06-22,1446883817,0,0,175,1,0.57
Africa,28-06-22,1446883817,0,0,175,1,0.57
Africa,29-06-22,1446883817,0,0,175,1,0.57
Africa,30-06-22,1446883817,0,0,175,1,0.57
Africa,01-07-22,1446883817,30,1,205,2,0.98
Africa,02-07-22,1446883817,0,0,205,2,0.98
Africa,03-07-22,1446883817,0,0,205,2,0.98
Africa,04-07-22,1446883817,0,0,205,2,0.98
Africa,05-07-22,1446883817,0,0,205,2,0.98
Africa,06-07-22,1446883817,0,0,205,2,0.98
Africa,07-07-22,1446883817,0,0,205,2,0.98
Africa,08-07-22,1446883817,22,0,227,2,0.88
Africa,09-07-22,1446883817,0,0,227,2,0.88
Africa,10-07-22,1446883817,0,0,227,2,0.88
Africa,11-07-22,1446883817,0,0,227,2,0.88
Africa,12-07-22,1446883817,0,0,227,2,0.88
Africa,13-07-22,1446883817,0,0,227,2,0.88
Africa,14-07-22,1446883817,0,0,227,2,0.88
Africa,15-07-22,1446883817,22,0,249,2,0.8
Africa,16-07-22,1446883817,0,0,249,2,0.8
Africa,17-07-22,1446883817,0,0,249,2,0.8
Africa,18-07-22,1446883817,0,0,249,2,0.8
Africa,19-07-22,1446883817,0,0,249,2,0.8
Africa,20-07-22,1446883817,0,0,249,2,0.8
Africa,21-07-22,1446883817,0,0,249,2,0.8
Africa,22-07-22,1446883817,16,0,265,2,0.75
Africa,23-07-22,1446883817,0,0,265,2,0.75
Africa,24-07-22,1446883817,0,0,265,2,0.75
Africa,25-07-22,1446883817,0,0,265,2,0.75
Africa,26-07-22,1446883817,0,0,265,2,0.75
Africa,27-07-22,1446883817,0,0,265,2,0.75
Africa,28-07-22,1446883817,0,0,265,2,0.75
Africa,29-07-22,1446883817,41,1,306,3,0.98
Africa,30-07-22,1446883817,0,0,306,3,0.98
Africa,31-07-22,1446883817,0,0,306,3,0.98
Africa,01-08-22,1446883817,1,0,307,3,0.98
Africa,02-08-22,1446883817,0,0,307,3,0.98
Africa,03-08-22,1446883817,0,0,307,3,0.98
Africa,04-08-22,1446883817,0,0,307,3,0.98
Africa,05-08-22,1446883817,20,3,327,6,1.83
Africa,06-08-22,1446883817,0,0,327,6,1.83
Africa,07-08-22,1446883817,0,0,327,6,1.83
Africa,08-08-22,1446883817,0,0,327,6,1.83
Africa,09-08-22,1446883817,0,0,327,6,1.83
Africa,10-08-22,1446883817,1,0,328,6,1.83
Africa,11-08-22,1446883817,0,0,328,6,1.83
Africa,12-08-22,1446883817,112,0,440,6,1.36
Africa,13-08-22,1446883817,0,0,440,6,1.36
Africa,14-08-22,1446883817,0,0,440,6,1.36
Africa,15-08-22,1446883817,0,0,440,6,1.36
Africa,16-08-22,1446883817,0,0,440,6,1.36
Africa,17-08-22,1446883817,0,0,440,6,1.36
Africa,18-08-22,1446883817,0,0,440,6,1.36
Africa,19-08-22,1446883817,33,5,473,11,2.33
Africa,20-08-22,1446883817,0,0,473,11,2.33
Africa,21-08-22,1446883817,0,0,473,11,2.33
Africa,22-08-22,1446883817,0,0,473,11,2.33
Africa,23-08-22,1446883817,0,0,473,11,2.33
Africa,24-08-22,1446883817,0,0,473,11,2.33
Africa,25-08-22,1446883817,0,0,473,11,2.33
Africa,26-08-22,1446883817,69,0,542,11,2.03
Africa,27-08-22,1446883817,0,0,542,11,2.03
Africa,28-08-22,1446883817,0,0,542,11,2.03
Africa,29-08-22,1446883817,2,0,544,11,2.02
Africa,30-08-22,1446883817,0,0,544,11,2.02
Africa,31-08-22,1446883817,0,0,544,11,2.02
Africa,01-09-22,1446883817,0,0,544,11,2.02
Africa,02-09-22,1446883817,44,1,588,12,2.04
Africa,03-09-22,1446883817,0,0,588,12,2.04
Africa,04-09-22,1446883817,0,0,588,12,2.04
Africa,05-09-22,1446883817,0,0,588,12,2.04
Africa,06-09-22,1446883817,2,0,590,12,2.03
Africa,07-09-22,1446883817,0,0,590,12,2.03
Africa,08-09-22,1446883817,0,0,590,12,2.03
Africa,09-09-22,1446883817,39,0,629,12,1.91
Africa,10-09-22,1446883817,0,0,629,12,1.91
